city,id
丽江,10186
大理,10487
昆明,10807
泸沽湖,10121
香格里拉,10482
西双版纳,10809
腾冲,10651
双廊,15950
束河,10018
雨崩,12141
玉龙雪山,15943
宁蒗彝族自治县,66252
迪庆,27224
梅里雪山,10806
普者黑,10810
景洪,18303
元阳,11660
罗平,10808
瑞丽,15812
德钦,12715
虎跳峡,10481
建水,15060
红河,11871
东川,10650
石林,10165
玉溪,11533
怒江,10523
保山,24185
楚雄,11494
和顺,16491
弥勒,17298
普洱,21358
曲靖,12643
澄江,24834
沙溪,15946
玉龙纳西族自治县,66251
喜洲,15949
昭通,11827
文山,23865
丙中洛,17824
芒市,30426
坝美,22136
德宏,19625
蒙自,63577
哈巴雪山,15954
丘北,63071
元谋,16394
临沧,17543
诺邓,17823
勐腊,18302
剑川,15948
会泽,18459
巍山,23457
鹤庆,63566
河口瑶族自治县,141503
白沙古镇,21790
昆明安宁,63579
禄劝,22786
墨江,14949
黑井古镇,20275
广南,63072
碧色寨,22517
宜良,63063
官渡古镇,31899
宾川,63567
个旧,63576
尼汝,15606
洱源,63565
挖色镇,132245
泸西,18119
沧源,140626
南涧,141495
勐海,63572
呈贡,84665
新平,141534
武定,17149
西盟,63569
澜沧,63570
贡山独龙族怒族自治县,66249
打洛,18308
开远,17296
元江,141536
云龙,63564
石鼓镇,33201
禄丰,63573
盈江,63059
思茅,141521
云南江城,141517
维西,141502
陆良,18756
通海,19676
石屏,63575
云南马龙,63066
龙陵,17593
祥云县,141496
晋宁,36359
弥渡,33267
孟连,63568
鸡街,143759
宣威,63795
寻甸,140759
金平,38972
嵩明,141509
梁河,63060
师宗,63068
富宁,141529
易门,141535
泸水,63061
宁洱,141520
华宁,64113
沾益,63067
水富,63065
峨山,141533
勐罕,18311
福贡,63062
屏边苗族自治县,141506
江川,63574
勐仑,18307
八宝,142386
禄充,143755
麻栗坡,141530
楚雄市,174647
富源,63069
固东镇,143714
片马,16868
姚安,140761
富民,141507
双江,141528
大理新华村,17759
绿春,141504
大关,141437
耿马,141512
草海镇,139776
漾濞,62922
永胜,63571
章朗,18310
云县,141515
景谷,141519
砚山,141532
马关,63070
盐津,63064
永平,141497
凤庆,141511
永仁县,132166
鲁甸,141438
南华县,141493
施甸,141485
景东,141518
巧家,141439
陇川,141498
华坪,141510
新街镇,84536
大姚,141491
镇康,63563
镇雄,141444
威信,141441
镇沅,141522
昌宁,141484
娜姑,143723
兰坪,141516
永善,141443
彝良,141442
绥江,141440
牟定,141492
绮罗村,143716
永德,141514
永芝,18050
水碓村,143712
西畴,141531
双柏,141494
哀牢山,26453
碧罗雪山,18167
飞来寺,27055
梁王山,24070
高黎贡山,16524
滇越铁路,18429
橄榄坝,18306
大理蝴蝶泉,17757
玉几岛,17980
苍山,17981
南诏风情岛,17758
鸡足山,10416
崇圣寺,18051
洱海,15947
阿佤山,16672
白马雪山,20244
独龙江,18149
纳帕海,15951
普达措,15953
松赞林寺,15952
千龟山,15944
九子海,33074
阿庐古洞,17914
抚仙湖,17959
轿子雪山,25576
九乡,17817
大山包,40453
螳螂川,23558
狮子山,29221
勐景来,18305
文海,16141
黑龙潭公园,15945
拉市海,15894
曼旦,18312
磨憨,39124
豆沙关,17962
成都,10035
九寨沟,10136
峨眉山,10143
稻城,10061
色达,10011
亚丁,10091
阿坝,11642
都江堰,10163
川西,11942
甘孜,10236
乐山,11273
四姑娘山,10134
若尔盖,10564
海螺沟,11327
西岭雪山,18084
康定,10510
牛背山,17315
西昌,11630
毕棚沟,10462
青城山,10323
雅安,12112
新都桥,14727
阆中,10838
绵阳,13663
贡嘎,10347
黄龙,10162
丹巴,10403
汶川,10691
大邑,16216
泸定,10816
宜宾,12555
广元,14669
理县,21667
理塘,10509
蜀南竹海,15982
攀枝花,12038
彭州,19312
双流,63021
自贡,14653
南充,18829
凉山,14754
泸州,13518
邛崃,19375
松潘,18415
眉山,15128
德阳,18974
江油,18679
黑水,64481
茂县,64474
黄龙溪,14767
米亚罗,21261
北川,12427
红原,14946
遂宁,14238
广安,21831
米易,63013
剑阁,15981
巴中,15274
郫县,26923
邛海,15984
崇州,34802
达州,21832
洛带古镇,14769
莫斯卡,29378
达瓦更扎,153088
川北,11610
安仁古镇,15979
内江,44453
汉源,46641
巴塘,11719
犍为,16463
马尔康,15983
平乐古镇,13816
温江,37839
荥经,66245
柳江古镇,20910
金川,36836
街子古镇,15975
唐克,10315
盐源县,174428
木里,17625
新都,84541
上里,10598
映秀,18329
新津,15980
宝兴,63461
平武,63044
洪雅,18173
广汉,24438
九龙,63005
小金,66243
石棉县,63014
南江,63057
金堂,63039
龙泉驿,84660
什邡,28991
水磨古镇,27663
德格,35423
格聂,10374
天全,63015
白玉,10638
雅江,62950
蒲江,60642
屏山,144528
绵竹,42884
道孚,10271
李庄古镇,29010
资阳,62078
隆昌,63048
会理,63007
炉霍,16165
新龙县,62949
冕宁,63006
华蓥,63056
乡城,21469
简阳,35409
青川,63049
石渠,35213
